url_path,views_total,views_unique
/catzzz/mygitaction,38,1
/catzzz/mygitaction/actions,16,1
/catzzz/mygitaction/tree/main/.github/workflows,14,1
/catzzz/mygitaction/blob/main/main.py,8,1
/catzzz/mygitaction/blob/main/.github/workflows/superlinter.yml,7,1
/catzzz/mygitaction/actions/workflows/repostats-for-nice-project.yml,5,1
/catzzz/mygitaction/edit/main/main.py,4,1
/catzzz/mygitaction/actions/runs/1820121312,3,1
/catzzz/mygitaction/actions/workflows/repo-stat.yml,3,1
/catzzz/mygitaction/actions/workflows/superlinter.yml,3,1
