time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-09 00:00:00+00:00,29,13,149,1
2022-02-10 00:00:00+00:00,4,4,10,1
2022-02-11 00:00:00+00:00,1,1,0,0
2022-02-12 00:00:00+00:00,1,1,0,0
2022-02-13 00:00:00+00:00,1,1,0,0
2022-02-14 00:00:00+00:00,1,1,0,0
2022-02-15 00:00:00+00:00,1,1,0,0
2022-02-16 00:00:00+00:00,2,2,0,0
2022-02-17 00:00:00+00:00,1,1,0,0
2022-02-18 00:00:00+00:00,1,1,0,0
2022-02-19 00:00:00+00:00,1,1,0,0
2022-02-20 00:00:00+00:00,1,1,0,0
2022-02-21 00:00:00+00:00,1,1,0,0
2022-02-22 00:00:00+00:00,1,1,0,0
2022-02-23 00:00:00+00:00,1,1,0,0
2022-02-24 00:00:00+00:00,1,1,0,0
2022-02-25 00:00:00+00:00,1,1,8,1
2022-02-26 00:00:00+00:00,1,1,0,0
2022-02-27 00:00:00+00:00,1,1,0,0
2022-02-28 00:00:00+00:00,1,1,0,0
2022-03-01 00:00:00+00:00,1,1,0,0
2022-03-02 00:00:00+00:00,1,1,0,0
2022-03-03 00:00:00+00:00,1,1,0,0
2022-03-04 00:00:00+00:00,1,1,0,0
2022-03-05 00:00:00+00:00,1,1,0,0
2022-03-06 00:00:00+00:00,1,1,0,0
2022-03-07 00:00:00+00:00,1,1,0,0
2022-03-08 00:00:00+00:00,1,1,0,0
2022-03-09 00:00:00+00:00,1,1,0,0
2022-03-10 00:00:00+00:00,1,1,0,0
2022-04-08 00:00:00+00:00,1,1,0,0
2022-04-09 00:00:00+00:00,1,1,0,0
2022-04-10 00:00:00+00:00,1,1,0,0
2022-04-11 00:00:00+00:00,1,1,0,0
2022-04-15 00:00:00+00:00,0,0,6,1
2022-04-21 00:00:00+00:00,0,0,3,1
2022-04-28 00:00:00+00:00,2,1,0,0
2022-05-11 00:00:00+00:00,1,1,0,0
2022-05-28 00:00:00+00:00,2,1,0,0
2022-06-01 00:00:00+00:00,1,1,0,0
2022-06-03 00:00:00+00:00,1,1,0,0
2022-07-29 00:00:00+00:00,2,2,0,0
2022-07-31 00:00:00+00:00,2,1,0,0
