url_path,views_total,views_unique
/arras-energy/gridlabd-old/blob/master/module/industrial/naics_data_file.csv,14,5
/arras-energy/gridlabd-old,8,5
/arras-energy/gridlabd-old/blob/master/module/industrial/industrial.h,8,3
/arras-energy/gridlabd-old/tree/master/module/industrial,8,1
/arras-energy/gridlabd-old/blob/master/module/industrial/industrial.cpp,4,2
/arras-energy/gridlabd-old/pull/815,2,2
/arras-energy/gridlabd-old/blob/master/module/industrial/init.cpp,2,1
/arras-energy/gridlabd-old/blob/master/module/industrial/Makefile.mk,2,1
/arras-energy/gridlabd-old/tree/master/install,2,1
/arras-energy/gridlabd-old/tree/master/module,2,1
