time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-04 00:00:00+00:00,26,3,45,4
2023-08-05 00:00:00+00:00,3,2,8,3
2023-08-06 00:00:00+00:00,5,4,5,2
2023-08-07 00:00:00+00:00,6,4,77,4
2023-08-08 00:00:00+00:00,7,5,12,4
2023-08-09 00:00:00+00:00,6,5,41,9
2023-08-10 00:00:00+00:00,10,6,135,7
2023-08-11 00:00:00+00:00,3,2,37,5
2023-08-12 00:00:00+00:00,10,4,53,3
2023-08-13 00:00:00+00:00,3,2,93,7
2023-08-14 00:00:00+00:00,3,2,109,8
2023-08-15 00:00:00+00:00,7,3,198,9
2023-08-16 00:00:00+00:00,2,1,31,3
2023-08-17 00:00:00+00:00,2,1,81,5
