time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-29 00:00:00+00:00,,,10,2
2022-01-30 00:00:00+00:00,,,3,3
2022-01-31 00:00:00+00:00,,,24,4
2022-02-01 00:00:00+00:00,7.0,3.0,57,7
2022-02-02 00:00:00+00:00,9.0,3.0,57,6
2022-02-03 00:00:00+00:00,6.0,3.0,40,7
2022-02-04 00:00:00+00:00,,,13,4
2022-02-06 00:00:00+00:00,,,5,1
2022-02-07 00:00:00+00:00,3.0,1.0,17,4
2022-02-08 00:00:00+00:00,,,42,7
2022-02-09 00:00:00+00:00,,,70,6
2022-02-10 00:00:00+00:00,5.0,4.0,23,7
2022-02-11 00:00:00+00:00,1.0,1.0,4,4
