time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-28 00:00:00+00:00,127.0,5.0,184,3
2023-04-29 00:00:00+00:00,70.0,5.0,87,2
2023-04-30 00:00:00+00:00,,,5,1
2023-05-01 00:00:00+00:00,52.0,12.0,102,8
2023-05-02 00:00:00+00:00,11.0,1.0,14,3
2023-05-03 00:00:00+00:00,,,5,2
2023-05-04 00:00:00+00:00,,,11,2
2023-05-05 00:00:00+00:00,,,14,7
2023-05-06 00:00:00+00:00,,,30,4
2023-05-07 00:00:00+00:00,13.0,2.0,96,1
2023-05-08 00:00:00+00:00,24.0,3.0,67,7
2023-05-09 00:00:00+00:00,14.0,1.0,121,4
2023-05-10 00:00:00+00:00,2.0,2.0,7,2
2023-05-11 00:00:00+00:00,,,8,3
