time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-28 00:00:00+00:00,3.0,3.0,23,6
2022-10-29 00:00:00+00:00,4.0,3.0,14,6
2022-10-30 00:00:00+00:00,2.0,1.0,1,1
2022-10-31 00:00:00+00:00,8.0,3.0,44,8
2022-11-01 00:00:00+00:00,8.0,4.0,31,7
2022-11-02 00:00:00+00:00,33.0,12.0,42,5
2022-11-03 00:00:00+00:00,17.0,5.0,44,4
2022-11-04 00:00:00+00:00,8.0,4.0,43,6
2022-11-05 00:00:00+00:00,4.0,3.0,16,1
2022-11-06 00:00:00+00:00,4.0,2.0,11,2
2022-11-07 00:00:00+00:00,2.0,1.0,12,6
2022-11-08 00:00:00+00:00,,,40,6
2022-11-09 00:00:00+00:00,14.0,7.0,89,11
2022-11-10 00:00:00+00:00,10.0,5.0,43,7
