time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,12,6,0,0
2026-05-07 00:00:00+00:00,3,2,3,3
2026-05-08 00:00:00+00:00,3,1,2,2
2026-05-09 00:00:00+00:00,5,4,1,1
2026-05-10 00:00:00+00:00,21,19,0,0
2026-05-11 00:00:00+00:00,17,13,0,0
2026-05-12 00:00:00+00:00,5,3,2,1
2026-05-13 00:00:00+00:00,24,6,0,0
2026-05-14 00:00:00+00:00,4,3,2,2
2026-05-15 00:00:00+00:00,3,1,1,1
2026-05-16 00:00:00+00:00,34,14,3,3
2026-05-17 00:00:00+00:00,24,8,5,3
2026-05-18 00:00:00+00:00,7,5,2,2
2026-05-19 00:00:00+00:00,12,6,0,0
