time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-02 00:00:00+00:00,,,2,1
2024-01-03 00:00:00+00:00,11.0,1.0,5,4
2024-01-04 00:00:00+00:00,1.0,1.0,6,5
2024-01-05 00:00:00+00:00,,,10,3
2024-01-06 00:00:00+00:00,11.0,1.0,4,4
2024-01-07 00:00:00+00:00,,,3,3
2024-01-08 00:00:00+00:00,,,6,4
2024-01-09 00:00:00+00:00,10.0,2.0,9,4
2024-01-10 00:00:00+00:00,3.0,2.0,8,7
2024-01-11 00:00:00+00:00,1.0,1.0,5,3
2024-01-12 00:00:00+00:00,12.0,2.0,2,1
2024-01-13 00:00:00+00:00,1.0,1.0,4,4
2024-01-14 00:00:00+00:00,,,6,2
2024-01-15 00:00:00+00:00,1.0,1.0,5,3
