time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-08 00:00:00+00:00,,,42,7
2022-02-09 00:00:00+00:00,,,70,6
2022-02-10 00:00:00+00:00,5.0,4.0,23,7
2022-02-11 00:00:00+00:00,1.0,1.0,4,4
2022-02-12 00:00:00+00:00,1.0,1.0,3,2
2022-02-13 00:00:00+00:00,,,6,4
2022-02-14 00:00:00+00:00,,,3,1
2022-02-15 00:00:00+00:00,6.0,3.0,21,4
2022-02-16 00:00:00+00:00,3.0,2.0,44,7
2022-02-17 00:00:00+00:00,15.0,5.0,67,7
2022-02-18 00:00:00+00:00,11.0,5.0,22,10
2022-02-19 00:00:00+00:00,6.0,2.0,22,4
2022-02-20 00:00:00+00:00,1.0,1.0,12,5
2022-02-21 00:00:00+00:00,,,4,3
