time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-06 00:00:00+00:00,10.0,5.0,122,2
2023-04-07 00:00:00+00:00,1.0,1.0,4,2
2023-04-08 00:00:00+00:00,1.0,1.0,13,3
2023-04-09 00:00:00+00:00,,,1,1
2023-04-10 00:00:00+00:00,6.0,4.0,45,4
2023-04-11 00:00:00+00:00,20.0,10.0,81,3
2023-04-12 00:00:00+00:00,5.0,4.0,44,5
2023-04-13 00:00:00+00:00,15.0,6.0,71,5
2023-04-14 00:00:00+00:00,14.0,8.0,89,6
2023-04-15 00:00:00+00:00,30.0,9.0,347,2
2023-04-16 00:00:00+00:00,6.0,4.0,142,1
2023-04-17 00:00:00+00:00,14.0,4.0,105,7
2023-04-18 00:00:00+00:00,9.0,1.0,36,3
2023-04-19 00:00:00+00:00,21.0,1.0,111,7
