time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,6,4,3.0,3.0
2025-10-27 00:00:00+00:00,10,7,26.0,5.0
2025-10-28 00:00:00+00:00,15,10,2.0,2.0
2025-10-29 00:00:00+00:00,15,11,6.0,6.0
2025-10-30 00:00:00+00:00,11,8,4.0,4.0
2025-10-31 00:00:00+00:00,13,7,3.0,3.0
2025-11-01 00:00:00+00:00,5,1,1.0,1.0
2025-11-02 00:00:00+00:00,6,2,,
2025-11-03 00:00:00+00:00,11,8,2.0,2.0
2025-11-04 00:00:00+00:00,12,6,25.0,2.0
2025-11-05 00:00:00+00:00,19,11,1.0,1.0
2025-11-06 00:00:00+00:00,12,10,1.0,1.0
2025-11-07 00:00:00+00:00,12,9,,
2025-11-08 00:00:00+00:00,6,5,,
