time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,4,2,3.0,3.0
2025-12-04 00:00:00+00:00,3,1,1.0,1.0
2025-12-05 00:00:00+00:00,3,2,1.0,1.0
2025-12-06 00:00:00+00:00,3,1,1.0,1.0
2025-12-07 00:00:00+00:00,4,2,,
2025-12-08 00:00:00+00:00,5,3,,
2025-12-09 00:00:00+00:00,21,19,,
2025-12-10 00:00:00+00:00,46,45,,
2025-12-11 00:00:00+00:00,5,4,,
2025-12-12 00:00:00+00:00,3,2,,
2025-12-13 00:00:00+00:00,3,1,1.0,1.0
2025-12-14 00:00:00+00:00,4,2,,
2025-12-15 00:00:00+00:00,4,2,,
2025-12-16 00:00:00+00:00,3,2,,
