time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-12 00:00:00+00:00,2.0,1.0,7,2
2022-06-13 00:00:00+00:00,1.0,1.0,48,16
2022-06-14 00:00:00+00:00,12.0,2.0,97,10
2022-06-15 00:00:00+00:00,13.0,8.0,89,12
2022-06-16 00:00:00+00:00,2.0,2.0,44,16
2022-06-17 00:00:00+00:00,14.0,5.0,71,11
2022-06-18 00:00:00+00:00,6.0,3.0,23,6
2022-06-19 00:00:00+00:00,1.0,1.0,4,2
2022-06-20 00:00:00+00:00,20.0,8.0,121,21
2022-06-21 00:00:00+00:00,8.0,5.0,55,8
2022-06-22 00:00:00+00:00,7.0,6.0,37,9
2022-06-23 00:00:00+00:00,5.0,4.0,11,4
2022-06-24 00:00:00+00:00,,,4,2
2022-06-25 00:00:00+00:00,6.0,2.0,20,3
