time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,18,8,1,1
2026-06-19 00:00:00+00:00,2,1,1,1
2026-06-20 00:00:00+00:00,5,4,3,3
2026-06-21 00:00:00+00:00,8,6,6,6
2026-06-22 00:00:00+00:00,8,5,0,0
2026-06-23 00:00:00+00:00,19,8,0,0
2026-06-24 00:00:00+00:00,12,6,2,2
2026-06-25 00:00:00+00:00,365,7,1,1
2026-06-26 00:00:00+00:00,191,13,1,1
2026-06-27 00:00:00+00:00,98,14,0,0
2026-06-28 00:00:00+00:00,97,14,1,1
2026-06-29 00:00:00+00:00,14,11,1,1
2026-06-30 00:00:00+00:00,1735,4,4,4
2026-07-01 00:00:00+00:00,20,9,1,1
