time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-19 00:00:00+00:00,30.0,3.0,153,8
2023-04-20 00:00:00+00:00,24.0,4.0,150,8
2023-04-21 00:00:00+00:00,20.0,2.0,148,4
2023-04-22 00:00:00+00:00,18.0,2.0,104,3
2023-04-23 00:00:00+00:00,10.0,2.0,53,3
2023-04-24 00:00:00+00:00,14.0,6.0,56,4
2023-04-25 00:00:00+00:00,3.0,1.0,11,4
2023-04-26 00:00:00+00:00,7.0,2.0,39,4
2023-04-27 00:00:00+00:00,58.0,5.0,149,6
2023-04-28 00:00:00+00:00,127.0,5.0,184,3
2023-04-29 00:00:00+00:00,70.0,5.0,87,2
2023-04-30 00:00:00+00:00,,,5,1
2023-05-01 00:00:00+00:00,52.0,12.0,102,8
2023-05-02 00:00:00+00:00,11.0,1.0,14,3
