time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-09 00:00:00+00:00,2.0,2.0,6,3
2023-02-10 00:00:00+00:00,,,8,6
2023-02-11 00:00:00+00:00,1.0,1.0,2,1
2023-02-12 00:00:00+00:00,1.0,1.0,19,3
2023-02-13 00:00:00+00:00,3.0,3.0,6,4
2023-02-14 00:00:00+00:00,,,4,2
2023-02-15 00:00:00+00:00,1.0,1.0,14,5
2023-02-16 00:00:00+00:00,,,12,6
2023-02-17 00:00:00+00:00,1.0,1.0,11,3
2023-02-18 00:00:00+00:00,,,8,1
2023-02-19 00:00:00+00:00,,,12,2
2023-02-20 00:00:00+00:00,1.0,1.0,3,2
2023-02-21 00:00:00+00:00,,,11,4
2023-02-22 00:00:00+00:00,,,81,6
