time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-17 00:00:00+00:00,14.0,5.0,71,11
2022-06-18 00:00:00+00:00,6.0,3.0,23,6
2022-06-19 00:00:00+00:00,1.0,1.0,4,2
2022-06-20 00:00:00+00:00,20.0,8.0,121,21
2022-06-21 00:00:00+00:00,8.0,5.0,55,8
2022-06-22 00:00:00+00:00,7.0,6.0,37,9
2022-06-23 00:00:00+00:00,5.0,4.0,11,4
2022-06-24 00:00:00+00:00,,,4,2
2022-06-25 00:00:00+00:00,7.0,3.0,24,4
2022-06-26 00:00:00+00:00,5.0,2.0,16,2
2022-06-27 00:00:00+00:00,,,51,8
2022-06-28 00:00:00+00:00,6.0,3.0,20,5
2022-06-29 00:00:00+00:00,5.0,3.0,7,3
2022-06-30 00:00:00+00:00,6.0,4.0,22,6
