time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,26,5,6,6
2026-04-22 00:00:00+00:00,9,5,1,1
2026-04-23 00:00:00+00:00,3,1,0,0
2026-04-24 00:00:00+00:00,6,4,0,0
2026-04-25 00:00:00+00:00,9,4,3,1
2026-04-26 00:00:00+00:00,9,4,0,0
2026-04-27 00:00:00+00:00,2,1,3,2
2026-04-28 00:00:00+00:00,41,5,2,1
2026-04-29 00:00:00+00:00,10,6,0,0
2026-04-30 00:00:00+00:00,8,4,3,3
2026-05-01 00:00:00+00:00,10,6,2,2
2026-05-02 00:00:00+00:00,8,4,6,5
2026-05-03 00:00:00+00:00,19,14,4,4
2026-05-04 00:00:00+00:00,15,10,1,1
