time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-01 00:00:00+00:00,31,2,78.0,4.0
2023-09-02 00:00:00+00:00,2,1,36.0,2.0
2023-09-03 00:00:00+00:00,31,2,18.0,3.0
2023-09-04 00:00:00+00:00,2,1,,
2023-09-05 00:00:00+00:00,3,2,2.0,1.0
2023-09-06 00:00:00+00:00,2,1,,
2023-09-07 00:00:00+00:00,5,3,62.0,2.0
2023-09-08 00:00:00+00:00,3,2,,
2023-09-09 00:00:00+00:00,3,2,6.0,2.0
2023-09-10 00:00:00+00:00,3,2,1.0,1.0
2023-09-11 00:00:00+00:00,3,2,10.0,5.0
2023-09-12 00:00:00+00:00,3,2,34.0,4.0
2023-09-13 00:00:00+00:00,10,3,36.0,3.0
2023-09-14 00:00:00+00:00,2,1,27.0,5.0
