time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-05-16 00:00:00+00:00,4,3,136,7
2022-05-17 00:00:00+00:00,5,4,110,13
2022-05-18 00:00:00+00:00,12,6,128,12
2022-05-19 00:00:00+00:00,8,5,106,10
2022-05-20 00:00:00+00:00,7,5,173,4
2022-05-21 00:00:00+00:00,3,2,22,6
2022-05-22 00:00:00+00:00,6,2,18,3
2022-05-23 00:00:00+00:00,7,2,70,7
2022-05-24 00:00:00+00:00,5,2,44,8
2022-05-25 00:00:00+00:00,4,2,45,6
2022-05-26 00:00:00+00:00,5,2,33,7
2022-05-27 00:00:00+00:00,2,2,12,3
2022-05-28 00:00:00+00:00,1,1,21,2
2022-05-29 00:00:00+00:00,8,2,21,1
