time_iso8601,forks_cumulative
2017-06-08 00:00:00+00:00,1
2018-05-09 00:00:00+00:00,2
2018-12-17 00:00:00+00:00,3
2019-04-03 00:00:00+00:00,4
2019-06-28 00:00:00+00:00,5
2019-09-03 00:00:00+00:00,6
2019-09-16 00:00:00+00:00,8
2020-01-10 00:00:00+00:00,9
2020-04-17 00:00:00+00:00,10
2020-06-19 00:00:00+00:00,11
2020-07-28 00:00:00+00:00,12
2020-08-17 00:00:00+00:00,13
2020-10-16 00:00:00+00:00,14
2020-11-24 00:00:00+00:00,15
2020-12-13 00:00:00+00:00,16
2021-04-06 00:00:00+00:00,17
2021-04-26 00:00:00+00:00,18
2021-06-28 00:00:00+00:00,19
2021-07-02 00:00:00+00:00,20
2021-12-16 00:00:00+00:00,21
2022-11-17 00:00:00+00:00,22
2023-04-22 00:00:00+00:00,23
2023-04-28 00:00:00+00:00,24
2023-06-16 00:00:00+00:00,25
2023-07-11 00:00:00+00:00,26
2023-07-26 00:00:00+00:00,27
