time_iso8601,stars_cumulative
2017-10-23 00:00:00+00:00,1
2018-09-22 00:00:00+00:00,2
2018-10-26 00:00:00+00:00,3
2018-12-07 00:00:00+00:00,4
2019-02-14 00:00:00+00:00,5
2019-06-25 00:00:00+00:00,6
2019-09-16 00:00:00+00:00,7
2019-11-04 00:00:00+00:00,8
2020-04-24 00:00:00+00:00,9
2020-05-26 00:00:00+00:00,10
2020-07-26 00:00:00+00:00,11
2020-07-30 00:00:00+00:00,12
2020-10-26 00:00:00+00:00,13
2021-01-12 00:00:00+00:00,14
2021-05-05 00:00:00+00:00,15
2021-06-17 00:00:00+00:00,16
2021-10-15 00:00:00+00:00,17
2022-03-10 00:00:00+00:00,18
